mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_penalty,param_tol,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
93.62545402844746,24.373652753637693,0.8278634548187256,0.11115648455646861,0.08299354244677834,balanced,l2,0.00809099754725125,"OrderedDict({'C': 0.08299354244677834, 'class_weight': 'balanced', 'penalty': 'l2', 'tol': 0.00809099754725125})",0.7171840129843782,0.7175740592473979,0.71007938900613,0.7149458204126353,0.003444768980883943,11
43.749835093816124,12.707709590263153,2.4062015215555825,2.222395874284863,0.0011364024820059238,balanced,l1,9.732486115878446e-05,"OrderedDict({'C': 0.0011364024820059238, 'class_weight': 'balanced', 'penalty': 'l1', 'tol': 9.732486115878446e-05})",0.5872997310256111,0.5910546921342983,0.5892547660311959,0.5892030630637017,0.0015333923458732877,13
235.81405385335287,48.970045430133766,0.5491095383961996,0.22021868271598247,0.9426626159929082,,l2,7.486075251841654e-05,"OrderedDict({'C': 0.9426626159929082, 'class_weight': None, 'penalty': 'l2', 'tol': 7.486075251841654e-05})",0.7417218543046358,0.7600625800028445,0.7558073654390934,0.7525305999155246,0.007837875945542515,8
120.4182677268982,15.618949811864855,0.6761548519134521,0.25914645415573334,0.22713480413889078,balanced,l2,0.0006221564680800781,"OrderedDict({'C': 0.22713480413889078, 'class_weight': 'balanced', 'penalty': 'l2', 'tol': 0.0006221564680800781})",0.7447272727272727,0.745122201684124,0.735854890240132,0.741901454883843,0.004278605708496733,9
145.47910809516907,37.62577598896268,1.293961763381958,0.8956555825745163,0.04876765856284009,,l2,3.801670796275635e-05,"OrderedDict({'C': 0.04876765856284009, 'class_weight': None, 'penalty': 'l2', 'tol': 3.801670796275635e-05})",0.524780316344464,0.518427085170164,0.5193486254596393,0.5208520089914225,0.0028030944949289827,14
168.15846276283264,19.524681543084384,0.9575537045796713,0.4378520063585528,0.6484963391604267,balanced,l2,7.585785954488976e-05,"OrderedDict({'C': 0.6484963391604267, 'class_weight': 'balanced', 'penalty': 'l2', 'tol': 7.585785954488976e-05})",0.7687998276233571,0.7753266224030841,0.7597312573317693,0.7679525691194035,0.006394906210221185,6
170.4497741063436,19.086351732702557,1.2115286986033122,0.34850560258972163,1.5098637536653619,,l1,2.463299820195365e-06,"OrderedDict({'C': 1.5098637536653619, 'class_weight': None, 'penalty': 'l1', 'tol': 2.463299820195365e-06})",0.7781411828836196,0.789950020262056,0.7874630078019909,0.7851847369825554,0.005082981310386478,2
124.9159738222758,42.33473618091539,1.4139808813730876,0.8912282548407137,0.11419183640651374,balanced,l1,4.0226225918831645e-06,"OrderedDict({'C': 0.11419183640651374, 'class_weight': 'balanced', 'penalty': 'l1', 'tol': 4.0226225918831645e-06})",0.705787619526925,0.7041531024958074,0.7043303121852971,0.7047570114026765,0.0007323321868467217,12
77.05455311139424,26.925156716165954,2.459877093633016,0.7614429584906969,0.0013502028350754248,,l1,0.0011441071671193228,"OrderedDict({'C': 0.0013502028350754248, 'class_weight': None, 'penalty': 'l1', 'tol': 0.0011441071671193228})",0.0028957528957528956,0.0038535645472061657,0.004334216229231881,0.003694511224063647,0.0005979228825095966,15
100.78111910820007,14.287510788978736,1.6243638197580974,0.6324021360987679,90.3663904215085,balanced,l1,0.0018126817403100388,"OrderedDict({'C': 90.3663904215085, 'class_weight': 'balanced', 'penalty': 'l1', 'tol': 0.0018126817403100388})",0.7698452321517724,0.7762849747319117,0.7678614971958059,0.7713305680264967,0.0035956835646718736,5
135.13280057907104,5.057627264544129,0.9215463002522787,0.39630112791608657,1.3782142274485967,,l1,4.722988702413453e-06,"OrderedDict({'C': 1.3782142274485967, 'class_weight': None, 'penalty': 'l1', 'tol': 4.722988702413453e-06})",0.7767149494397376,0.787516960651289,0.7860709947361317,0.7834343016090527,0.004787830026111987,3
320.68174266815186,18.743523286566308,0.4474213123321533,0.17808326121587592,4.72559746902658,,l2,3.726444798565028e-05,"OrderedDict({'C': 4.72559746902658, 'class_weight': None, 'penalty': 'l2', 'tol': 3.726444798565028e-05})",0.7764026402640264,0.785762989226783,0.7790856830002737,0.7804171041636945,0.0039356104915627375,4
32.23664418856303,2.825359404472716,0.959214448928833,0.2542238581937779,100.0,,l1,0.01,"OrderedDict({'C': 100.0, 'class_weight': None, 'penalty': 'l1', 'tol': 0.01})",0.7587872283337805,0.7640629165555852,0.7680778332895083,0.7636426593929581,0.00380449709097912,7
200.17061694463095,13.288883963650068,0.5035073757171631,0.33295096464495655,4.668911080604085,,l1,2.7395284561734364e-06,"OrderedDict({'C': 4.668911080604085, 'class_weight': None, 'penalty': 'l1', 'tol': 2.7395284561734364e-06})",0.7817218543046358,0.7936424536976225,0.7901557795522974,0.7885066958515186,0.005004316820582654,1
145.58945512771606,35.63059868642428,0.44577447573343915,0.16070995030410248,100.0,,l2,0.01,"OrderedDict({'C': 100.0, 'class_weight': None, 'penalty': 'l2', 'tol': 0.01})",0.7432624113475177,0.7163652404058227,0.721145501880243,0.7269243845445278,0.011716400607762576,10
