mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_average,param_loss,param_tol,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
30.446699062983196,6.973346769910803,1.0534110864003499,0.2593313920923798,0.03429536597719673,100,squared_hinge,0.008531031629442465,"OrderedDict({'C': 0.03429536597719673, 'average': 100, 'loss': 'squared_hinge', 'tol': 0.008531031629442465})",0.7543213374893738,0.7602156640181612,0.7589498806682577,0.7578289607252643,0.0025335242181517507,13
188.03195532162985,29.46237998072915,0.4860622088114421,0.10421465935213443,0.0011077091391519045,100,hinge,0.0003098616610454803,"OrderedDict({'C': 0.0011077091391519045, 'average': 100, 'loss': 'hinge', 'tol': 0.0003098616610454803})",0.658875552747947,0.6599273416521877,0.6930360415394013,0.670612978646512,0.015861313041456652,14
246.69024515151978,4.417389553886058,0.32075683275858563,0.02560699811164757,0.2395990144793601,1,squared_hinge,0.00025450167285441695,"OrderedDict({'C': 0.2395990144793601, 'average': 1, 'loss': 'squared_hinge', 'tol': 0.00025450167285441695})",0.7869203966764943,0.7919052056983091,0.7920975868469902,0.7903077297405979,0.002396493492858402,7
154.44335969289145,11.317751073820805,0.6687311331431071,0.03181194733807792,0.07674091081898256,50,squared_hinge,0.001245732271807806,"OrderedDict({'C': 0.07674091081898256, 'average': 50, 'loss': 'squared_hinge', 'tol': 0.001245732271807806})",0.7875338753387534,0.7919354838709678,0.7904659305144088,0.7899784299080433,0.0018297143763660048,8
247.89410265286764,17.49902798177851,0.41718125343322754,0.030125386560555054,0.022413285529244226,1,squared_hinge,0.0001531020056344295,"OrderedDict({'C': 0.022413285529244226, 'average': 1, 'loss': 'squared_hinge', 'tol': 0.0001531020056344295})",0.7886563133018231,0.7933288859239493,0.791293897716651,0.7910930323141411,0.0019128502136349851,2
251.58667238553366,11.531242511901569,0.3955238660176595,0.019546661166057522,0.17763397037866413,50,squared_hinge,0.0002570398375992854,"OrderedDict({'C': 0.17763397037866413, 'average': 50, 'loss': 'squared_hinge', 'tol': 0.0002570398375992854})",0.7869116266595145,0.7921662669864109,0.792147499668391,0.7904084644381055,0.002472649576249756,5
150.28723963101706,20.466406174682707,0.45666805903116864,0.05242072559913227,0.3492610919945989,0,hinge,1.96624647189224e-05,"OrderedDict({'C': 0.3492610919945989, 'average': 0, 'loss': 'hinge', 'tol': 1.96624647189224e-05})",0.7894736842105263,0.7920081967213115,0.7884326489734602,0.7899715099684327,0.0015015565897244527,9
307.2101906140645,43.453024703670664,0.3334774971008301,0.029715405454215124,0.04426984952404209,50,hinge,2.8404161041035743e-05,"OrderedDict({'C': 0.04426984952404209, 'average': 50, 'loss': 'hinge', 'tol': 2.8404161041035743e-05})",0.7868983957219251,0.7935158118522455,0.7937350676931245,0.791383091755765,0.0031724220156314495,1
44.11307954788208,10.337615953954794,0.5053977171579996,0.12512851812494533,0.00127150833803423,10,hinge,0.0019672068575140927,"OrderedDict({'C': 0.00127150833803423, 'average': 10, 'loss': 'hinge', 'tol': 0.0019672068575140927})",0.48070239619535393,0.4833759590792839,0.48253275109170307,0.48220370212211366,0.0011160016552774045,15
71.22736724217732,11.211749702385854,0.4675749937693278,0.08162273417448702,9.2215844580687,100,hinge,0.0027780571130535748,"OrderedDict({'C': 9.2215844580687, 'average': 100, 'loss': 'hinge', 'tol': 0.0027780571130535748})",0.777139732020782,0.7897435897435897,0.7856560717196414,0.7841797978280044,0.005250323534573312,10
206.84891772270203,9.379694685015808,0.38310829798380536,0.012654938028896378,1.6819922086698367,10,hinge,0.00020117665953283488,"OrderedDict({'C': 1.6819922086698367, 'average': 10, 'loss': 'hinge', 'tol': 0.00020117665953283488})",0.7862881628280665,0.7924478127908523,0.7929025423728814,0.7905461726639333,0.0030165853289160862,3
518.2932102680206,111.37908436959378,0.30478660265604657,0.027426913277750948,0.0017903470448261015,50,hinge,1e-05,"OrderedDict({'C': 0.0017903470448261015, 'average': 50, 'loss': 'hinge', 'tol': 1e-05})",0.7452449567723343,0.7813322254535383,0.7761607761607762,0.7675793194622162,0.01593327314185207,12
215.0702657699585,36.024247170820225,0.4077569643656413,0.018902682497137877,10.0,50,squared_hinge,1e-05,"OrderedDict({'C': 10.0, 'average': 50, 'loss': 'squared_hinge', 'tol': 1e-05})",0.7862881628280665,0.7918540068764877,0.7928023286583752,0.7903148327876431,0.0028734858938251635,6
271.12014079093933,18.8452506642062,0.4165968100229899,0.02367316666446735,10.0,100,hinge,0.00019806863539601922,"OrderedDict({'C': 10.0, 'average': 100, 'loss': 'hinge', 'tol': 0.00019806863539601922})",0.7862881628280665,0.7924478127908523,0.7928023286583752,0.7905127680924314,0.002990751032194178,4
662.0024263858795,33.79835569089022,0.26530663172403973,0.005377300872566021,0.001,100,squared_hinge,1e-05,"OrderedDict({'C': 0.001, 'average': 100, 'loss': 'squared_hinge', 'tol': 1e-05})",0.7801730056295483,0.7882753919563735,0.7834403607050143,0.783962919430312,0.0033283596323434137,11
